"class","checkpoint","method","split","resolution","iters","valid_count","mean_chamfer","median_chamfer","mean_sdf_mae","wall_seconds","source_summary","source_csv","synced_at_utc"
"chair","100","baseline","official_full_test","256","200","832","0.0009025028765826984","0.000406124013855199","0.0111489539088395","6374.7116050369805","external_artifacts/server_snapshots/30622/river_two_classes/experiments/chair_classic_e500/Evaluation/PaperBaseline100_Full_N256_i200/summary.json","external_artifacts/server_snapshots/30622/river_two_classes/experiments/chair_classic_e500/Evaluation/PaperBaseline100_Full_N256_i200/chamfer.csv","2026-04-25T15:12:28Z"
"chair","100","lora","official_full_test","256","100","832","0.0004294285330663547","0.0001236026292138276","0.00586400238647072","6950.781037567067","external_artifacts/server_snapshots/30622/river_two_classes/experiments/chair_classic_e500/Evaluation/PaperLoRA100_Full_N256_i100/summary.json","external_artifacts/server_snapshots/30622/river_two_classes/experiments/chair_classic_e500/Evaluation/PaperLoRA100_Full_N256_i100/chamfer.csv","2026-04-25T15:12:28Z"
"lamp","100","baseline","official_full_test","256","200","213","0.003141395344993799","0.0012721939612545857","0.0134271042871818","1377.1997487590415","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/lamp_code256_e100/Evaluation/PaperBaseline100_Full_N256_i200/summary.json","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/lamp_code256_e100/Evaluation/PaperBaseline100_Full_N256_i200/chamfer.csv","2026-04-25T15:12:28Z"
"lamp","100","lora","official_full_test","256","100","213","0.0014237067695142482","0.00037100482752812716","0.00889140067998092","1669.2774484789697","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/lamp_code256_e100/Evaluation/PaperLoRA100_Full_N256_i100/summary.json","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/lamp_code256_e100/Evaluation/PaperLoRA100_Full_N256_i100/chamfer.csv","2026-04-25T15:12:29Z"
"airplane","100","baseline","official_full_test","256","200","456","0.00044077202339835213","0.00012711825222993628","0.00772173453598251","2747.791228265036","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/Evaluation/PaperBaseline100_Full_N256_i200/summary.json","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/Evaluation/PaperBaseline100_Full_N256_i200/chamfer.csv","2026-04-25T15:12:29Z"
"airplane","100","lora","official_full_test","256","100","456","0.0001992220438343482","5.17660710059357E-05","0.00418703002587631","3533.6165671540657","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/Evaluation/PaperLoRA100_Full_N256_i100/summary.json","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/Evaluation/PaperLoRA100_Full_N256_i100/chamfer.csv","2026-04-25T15:12:29Z"
"lamp","200","baseline","full","256","200","213","0.002060677891300447","0.000514609944569341","0.0110673919088369","1888.5416316000046","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/lamp_ckpt200/Evaluation/PaperBaseline200_Full_N256_i200_Local5070/summary.json","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/lamp_ckpt200/Evaluation/PaperBaseline200_Full_N256_i200_Local5070/chamfer.csv","2026-04-25T17:43:26Z"
"lamp","200","lora","full","256","100","213","0.0009424793841325845","0.0002573998675231208","0.00743384725532271","3164.883872000006","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/lamp_ckpt200/Evaluation/PaperLoRA200_Full_N256_i100_Local5070/summary.json","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/lamp_ckpt200/Evaluation/PaperLoRA200_Full_N256_i100_Local5070/chamfer.csv","2026-04-25T18:49:33Z"
"airplane","200","baseline","full","256","200","456","0.00024065857933350853","8.58615023040431E-05","0.00680922773429764","3564.2960956000024","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/airplane_ckpt200/Evaluation/PaperBaseline200_Full_N256_i200_Local5070/summary.json","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/airplane_ckpt200/Evaluation/PaperBaseline200_Full_N256_i200_Local5070/chamfer.csv","2026-04-25T20:03:09Z"
"airplane","200","lora","full","256","100","456","0.00012877915712175767","4.26895238630884E-05","0.00360932701094721","6162.073241100006","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/airplane_ckpt200/Evaluation/PaperLoRA200_Full_N256_i100_Local5070/summary.json","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/airplane_ckpt200/Evaluation/PaperLoRA200_Full_N256_i100_Local5070/chamfer.csv","2026-04-26T03:45:47Z"
"chair","200","baseline","full","256","200","832","0.0006821917490305314","0.00026623716888349324","0.0106087808330463","6423.307235200016","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/chair_ckpt200/Evaluation/PaperBaseline200_Full_N256_i200_Local5070/summary.json","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/chair_ckpt200/Evaluation/PaperBaseline200_Full_N256_i200_Local5070/chamfer.csv","2026-04-26T03:47:19Z"
"chair","200","lora","full","256","100","832","0.0002709653809057302","8.07536626893309E-05","0.00499915499620749","11582.207783299993","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/chair_ckpt200/Evaluation/PaperLoRA200_Full_N256_i100_Local5070/summary.json","external_artifacts/local_experiments/paper_ckpt200_full_chamfer_local/chair_ckpt200/Evaluation/PaperLoRA200_Full_N256_i100_Local5070/chamfer.csv","2026-04-26T03:47:19Z"
